Age,Gender,Education Level,Job Titles,Years of Experience,Salary,Skills
32,Male,Bachelor's,Software Engineer,5,90000,"Python, Java, C++"
28,Female,Master's,Data Analyst,3,65000,"SQL, Excel, Python"
45,Male,PhD,Senior Manager,15,150000,"Leadership, Strategy, Project Management"
36,Female,Bachelor's,Sales Associate,7,60000,"Communication, Customer Service, Negotiation"
52,Male,Master's,Director,20,200000,"Leadership, Strategic Planning, Business Development"
29,Male,Bachelor's,Marketing Analyst,2,55000,"SEO, Google Analytics, Content Creation"
42,Female,Master's,Product Manager,12,120000,"Product Lifecycle Management, Agile, UX Design"
31,Male,Bachelor's,Sales Manager,4,80000,"Sales Strategy, CRM, Team Leadership"
26,Female,Bachelor's,Marketing Coordinator,1,45000,"Social Media, Content Creation, Copywriting"
38,Male,PhD,Senior Scientist,10,110000,"Research, Data Analysis, Lab Management"
29,Male,Master's,Software Developer,3,75000,"Java, Spring Boot, SQL"
48,Female,Bachelor's,HR Manager,18,140000,"Recruitment, Employee Relations, HRIS"
35,Male,Bachelor's,Financial Analyst,6,65000,"Financial Modeling, Excel, Forecasting"
40,Female,Master's,Project Manager,14,130000,"Project Management, Agile, Risk Management"
27,Male,Bachelor's,Customer Service Rep,2,40000,"Customer Support, Communication, Problem-Solving"
44,Male,Bachelor's,Operations Manager,16,125000,"Operations Management, Process Improvement, Lean"
33,Female,Master's,Marketing Manager,7,90000,"SEO, Marketing Strategy, Content Marketing"
39,Male,PhD,Senior Engineer,12,115000,"CAD, Engineering Design, Project Management"
25,Female,Bachelor's,Data Entry Clerk,0,35000,"Typing, Data Management, Attention to Detail"
51,Male,Bachelor's,Sales Director,22,180000,"Sales Leadership, Negotiation, Strategic Planning"
34,Female,Master's,Business Analyst,5,80000,"SQL, Data Analysis, Process Improvement"
47,Male,Master's,VP of Operations,19,190000,"Operations Management, Strategic Planning, Leadership"
30,Male,Bachelor's,IT Support,2,50000,"Troubleshooting, Windows, Networking"
36,Female,Bachelor's,Recruiter,9,60000,"Recruitment, Interviewing, HR Policies"
41,Male,Master's,Financial Manager,13,140000,"Financial Planning, Budgeting, Forecasting"
